actor_id,risk_category,filler_word,avg_sentence_len,punct_style,typo_rate,uses_emoji
A00001,terror_financing,real talk,7,...,0.089,True
A00002,drugs,tbh,16,;,0.01,False
A00003,terror_financing,lowkey,9,;,0.072,False
A00004,other_illicit,no cap,14,-,0.026,False
A00005,arms,ngl,18,!!,0.084,False
A00006,money_laundering,honestly,7,...,0.046,False
A00007,drugs,basically,18,...,0.088,False
A00008,terror_financing,bro,10,;,0.106,False
A00009,arms,tbh,6,!!,0.093,False
A00010,stolen_data,tbh,12,.,0.054,False
A00011,money_laundering,honestly,9,.,0.084,False
A00012,stolen_data,real talk,8,;,0.087,True
A00013,other_illicit,real talk,17,;,0.026,False
A00014,arms,ngl,9,...,0.097,False
A00015,hacking_services,fam,17,.,0.026,False
A00016,terror_financing,fr fr,10,!!,0.03,False
A00017,money_laundering,fam,12,;,0.048,True
A00018,other_illicit,listen,7,...,0.103,True
A00019,money_laundering,real talk,12,;,0.008,False
A00020,other_illicit,basically,14,...,0.082,True
A00021,drugs,basically,18,.,0.013,False
A00022,drugs,no cap,17,.,0.117,False
A00023,arms,real talk,10,;,0.073,True
A00024,drugs,bro,18,;,0.11,False
A00025,drugs,tbh,11,.,0.029,True
A00026,other_illicit,tbh,17,-,0.098,False
A00027,other_illicit,fr fr,8,-,0.114,True
A00028,arms,fam,12,!!,0.111,False
A00029,money_laundering,no cap,10,-,0.119,False
A00030,money_laundering,listen,7,!!,0.027,False
A00031,arms,lowkey,15,!!,0.001,False
A00032,hacking_services,tbh,6,.,0.009,True
A00033,hacking_services,lowkey,14,!!,0.087,False
A00034,terror_financing,lowkey,18,-,0.097,True
A00035,terror_financing,look,11,-,0.049,False
A00036,other_illicit,real talk,16,...,0.007,False
A00037,arms,tbh,9,!!,0.023,False
A00038,other_illicit,basically,13,!!,0.105,True
A00039,drugs,bro,7,...,0.078,False
A00040,drugs,lowkey,8,-,0.058,True
A00041,other_illicit,fr fr,12,...,0.118,True
A00042,money_laundering,listen,10,-,0.084,False
A00043,money_laundering,real talk,17,-,0.019,True
A00044,hacking_services,no cap,14,...,0.09,True
A00045,arms,bro,14,!!,0.007,False
A00046,money_laundering,tbh,15,...,0.081,True
A00047,money_laundering,lowkey,15,;,0.005,True
A00048,stolen_data,fam,14,.,0.112,True
A00049,stolen_data,lowkey,10,-,0.016,False
A00050,drugs,tbh,6,-,0.075,False
A00051,arms,bro,9,;,0.032,False
A00052,money_laundering,honestly,10,!!,0.053,False
A00053,drugs,real talk,14,...,0.08,False
A00054,stolen_data,fr fr,10,...,0.107,False
A00055,other_illicit,basically,15,!!,0.086,True
A00056,drugs,basically,14,-,0.03,False
A00057,terror_financing,real talk,12,.,0.005,False
A00058,drugs,basically,8,-,0.066,False
A00059,money_laundering,tbh,17,!!,0.065,False
A00060,other_illicit,fr fr,12,!!,0.005,False
A00061,other_illicit,ngl,11,!!,0.082,False
A00062,other_illicit,bro,12,;,0.09,False
A00063,stolen_data,fr fr,18,!!,0.106,True
A00064,hacking_services,look,18,!!,0.032,False
A00065,stolen_data,ngl,13,!!,0.024,False
A00066,other_illicit,lowkey,9,...,0.079,False
A00067,other_illicit,tbh,18,.,0.042,False
A00068,money_laundering,bro,11,...,0.014,False
A00069,stolen_data,basically,6,...,0.072,False
A00070,stolen_data,look,15,;,0.014,False
A00071,terror_financing,ngl,17,-,0.0,False
A00072,stolen_data,no cap,17,!!,0.044,True
A00073,terror_financing,fam,11,...,0.086,False
A00074,hacking_services,look,11,-,0.084,False
A00075,other_illicit,real talk,12,!!,0.074,False
A00076,terror_financing,ngl,10,.,0.025,False
A00077,other_illicit,honestly,13,-,0.053,True
A00078,stolen_data,no cap,8,...,0.034,False
A00079,arms,tbh,18,!!,0.081,True
A00080,drugs,ngl,6,!!,0.118,False
A00081,hacking_services,listen,12,;,0.023,False
A00082,other_illicit,lowkey,8,...,0.107,False
A00083,drugs,look,9,!!,0.096,False
A00084,money_laundering,bro,9,...,0.055,False
A00085,other_illicit,bro,15,.,0.114,False
A00086,terror_financing,no cap,14,-,0.1,False
A00087,other_illicit,listen,13,.,0.09,False
A00088,arms,bro,13,!!,0.033,True
A00089,arms,basically,11,.,0.107,True
A00090,stolen_data,look,17,!!,0.085,True
A00091,other_illicit,bro,13,-,0.007,False
A00092,hacking_services,fam,17,...,0.103,False
A00093,hacking_services,ngl,11,.,0.09,False
A00094,arms,bro,17,;,0.096,False
A00095,other_illicit,basically,12,-,0.003,False
A00096,money_laundering,look,17,!!,0.101,False
A00097,hacking_services,ngl,12,;,0.068,True
A00098,hacking_services,fr fr,13,!!,0.006,False
A00099,stolen_data,honestly,11,-,0.033,False
A00100,arms,tbh,13,...,0.09,True
A00101,other_illicit,real talk,7,...,0.091,False
A00102,money_laundering,ngl,15,!!,0.029,False
A00103,terror_financing,lowkey,13,.,0.092,True
A00104,stolen_data,no cap,7,!!,0.116,True
A00105,money_laundering,fam,16,-,0.048,False
A00106,terror_financing,no cap,16,!!,0.012,False
A00107,stolen_data,fam,18,...,0.096,False
A00108,other_illicit,bro,12,.,0.008,False
A00109,hacking_services,look,13,...,0.052,False
A00110,stolen_data,no cap,8,-,0.021,False
A00111,terror_financing,fam,18,;,0.093,False
A00112,stolen_data,fam,10,.,0.102,False
A00113,drugs,listen,9,-,0.068,False
A00114,stolen_data,listen,11,!!,0.059,False
A00115,drugs,basically,15,.,0.067,False
A00116,hacking_services,lowkey,17,-,0.059,False
A00117,arms,real talk,17,-,0.054,True
A00118,money_laundering,look,17,!!,0.037,False
A00119,terror_financing,bro,11,-,0.12,False
A00120,stolen_data,listen,10,.,0.03,True
A00121,arms,tbh,17,;,0.114,False
A00122,money_laundering,no cap,13,.,0.087,False
A00123,drugs,basically,7,!!,0.036,False
A00124,stolen_data,no cap,14,!!,0.033,False
A00125,hacking_services,no cap,8,-,0.012,True
A00126,hacking_services,listen,13,.,0.022,True
A00127,drugs,tbh,7,-,0.059,False
A00128,drugs,fr fr,8,;,0.114,True
A00129,other_illicit,bro,18,-,0.073,False
A00130,hacking_services,bro,12,-,0.109,True
A00131,other_illicit,basically,15,;,0.007,False
A00132,arms,lowkey,16,!!,0.032,True
A00133,hacking_services,bro,7,!!,0.0,False
A00134,hacking_services,basically,6,!!,0.035,True
A00135,money_laundering,tbh,16,!!,0.111,False
A00136,arms,real talk,18,!!,0.051,False
A00137,terror_financing,basically,8,...,0.007,False
A00138,hacking_services,fam,10,-,0.015,False
A00139,hacking_services,basically,14,;,0.059,True
A00140,other_illicit,no cap,11,;,0.03,True
A00141,money_laundering,fam,15,...,0.12,False
A00142,arms,ngl,18,!!,0.056,False
A00143,stolen_data,fam,12,-,0.116,False
A00144,hacking_services,honestly,16,...,0.103,False
A00145,drugs,basically,16,-,0.098,False
A00146,money_laundering,honestly,10,.,0.014,False
A00147,stolen_data,ngl,16,;,0.055,True
A00148,stolen_data,fam,18,-,0.075,False
A00149,drugs,bro,8,.,0.053,False
A00150,money_laundering,real talk,15,!!,0.085,False
A00151,drugs,look,7,!!,0.119,False
A00152,stolen_data,real talk,8,-,0.112,True
A00153,arms,look,13,-,0.029,False
A00154,other_illicit,fam,14,!!,0.104,True
A00155,stolen_data,look,11,;,0.032,True
A00156,stolen_data,fam,15,-,0.104,False
A00157,arms,honestly,14,;,0.045,False
A00158,drugs,no cap,9,;,0.046,False
A00159,terror_financing,honestly,17,-,0.085,False
A00160,stolen_data,real talk,8,-,0.116,True
A00161,arms,tbh,13,...,0.063,False
A00162,stolen_data,look,16,!!,0.009,False
A00163,terror_financing,fam,17,-,0.078,False
A00164,other_illicit,bro,12,.,0.075,False
A00165,arms,bro,6,;,0.008,False
A00166,other_illicit,no cap,7,-,0.117,False
A00167,stolen_data,tbh,13,!!,0.083,False
A00168,hacking_services,ngl,10,.,0.045,True
A00169,hacking_services,fam,16,!!,0.02,True
A00170,hacking_services,fam,16,!!,0.06,False
A00171,hacking_services,real talk,10,-,0.031,True
A00172,money_laundering,basically,16,;,0.019,False
A00173,arms,basically,16,-,0.083,False
A00174,stolen_data,look,13,...,0.028,False
A00175,drugs,no cap,10,...,0.117,False
