handle_id,actor_id_ground_truth,handle_name,marketplace,pgp_fingerprint,category,created_date,last_active_date,status
H00001,A00001,nyxinhex99,marketplace_11,0A998F3749EA8D26E6DFB1529C40566171E1B68B,terror_financing,2023-02-20,2024-03-17,dormant
H00002,A00001,vexatrace,marketplace_8,7BFE5FBB58290C1567768D00F4507898DCBE86E9,terror_financing,2024-06-01,2024-12-31,burned
H00003,A00002,zerylghost,marketplace_13,93F2A8A8896471CA40F98DCC16A7FB95593F485A,drugs,2023-04-15,2023-04-28,active
H00004,A00002,neoin99,marketplace_19,AB89E3F12F63C9D1446ADE4A52FA5A10E8655F24,drugs,2023-08-16,2024-02-23,burned
H00005,A00003,nyxortrace,marketplace_14,16B0A60077B943C952199EAD4AFB65C07746053B,terror_financing,2024-02-18,2024-10-04,active
H00006,A00004,obsobyte,marketplace_9,3013DEC38F4609D384D33933F6686BD951F6FA70,other_illicit,2025-02-28,2025-12-08,active
H00007,A00005,darkamarket,marketplace_4,2387E98E13519BAD331045ABE82BA53CCE8CFD53,arms,2024-11-16,2025-08-05,active
H00008,A00005,shadexwraith,marketplace_19,DFE5CB04FF3DE128A07A3D7FBC4105FF52FA7A81,arms,2024-12-13,2025-12-29,burned
H00009,A00006,neoa_v2,marketplace_13,EE2FEA3F03CD10296EAB17EAFBE3370AB9B315F4,money_laundering,2024-02-17,2025-04-20,dormant
H00010,A00007,cyorstorm,marketplace_20,E6A3D13EE4F01DF5543CACD78CA9E44D9A6669B4,drugs,2023-07-20,2023-11-03,active
H00011,A00008,ravyldealer,marketplace_11,D9D030C4116859841961BE37C791CCDA1086E7B6,terror_financing,2024-12-28,2025-03-07,active
H00012,A00009,darkexmarket,marketplace_6,3C1D884580AE414A19FB2A7525DC2B76AAB96F03,arms,2024-11-30,2025-01-17,active
H00013,A00010,neooraven,marketplace_20,C3C890BEF196A2350266D36D240EA122158278DC,stolen_data,2025-07-29,2026-06-22,dormant
H00014,A00011,kryatrace,marketplace_14,212B39929ECC0F574C949B04310C296B6D455786,money_laundering,2023-11-20,2023-12-08,active
H00015,A00012,thren_v2,marketplace_19,292836FAB473926AFEA94BAD50A77D8B4AFEEB9F,stolen_data,2025-05-22,2025-06-28,burned
H00016,A00013,ghoexstorm,marketplace_20,82200C618F4BC794E2CB0754E554FB17F728B716,other_illicit,2023-03-25,2024-06-07,burned
H00017,A00014,hexobyte,marketplace_12,A3885CCB28C7CBBFF04E57286455B37DA3FFF65D,arms,2025-07-28,2026-03-27,active
H00018,A00014,darkulnode,marketplace_13,4141585C0926EFF57D4585AE27CC4306D435F132,arms,2023-09-07,2023-10-09,dormant
H00019,A00014,hexultrace,marketplace_16,DDB1D7FCB3D48F729D860030C6ADB34D88DB8C6D,arms,2024-11-06,2025-01-21,burned
H00020,A00015,zerathvoid,marketplace_16,9BC437E536CA15C024FD2287B21CC915FE069617,hacking_services,2024-01-15,2024-11-06,burned
H00021,A00015,shadylfang,marketplace_6,0528CBCC60229BB876EC085D329A388ECF7AEE0F,hacking_services,2023-06-23,2024-06-12,active
H00022,A00016,neoarraven,marketplace_13,DB08792CA25FAB6856F67786767B4332F01FBAF8,terror_financing,2024-10-10,2025-11-27,dormant
H00023,A00017,neoulcode,marketplace_17,1DF1BC5E3EA006C3AB85878FAB5FD6DBBC8E5473,money_laundering,2023-10-14,2024-05-14,active
H00024,A00018,neoexcode,marketplace_18,F05DF4AF981C35168F3EA8BB8B0D3B659BAFE2C9,other_illicit,2025-05-26,2025-12-17,dormant
H00025,A00018,darkexraven,marketplace_14,DC225A7AA98C8EBED550478265C332F10C23842C,other_illicit,2024-10-08,2026-02-19,active
H00026,A00019,darkexmarket,marketplace_10,501BAFE8E45ED9BF72E9BD849004B9F0FF90D970,money_laundering,2024-03-29,2025-02-22,burned
H00027,A00020,kryorfang,marketplace_14,5CC782D7898D625493EE8F6A041053984E07240F,other_illicit,2025-06-22,2026-04-15,active
H00028,A00021,nyxyl_v2,marketplace_10,1A2418C2F568C037CE716E36FC9A5138F96B1637,drugs,2025-03-15,2026-05-08,dormant
H00029,A00022,obsax,marketplace_6,701F4B275F2A11B434F7ABE60CB481FE9F65BAE8,drugs,2025-03-24,2025-08-22,burned
H00030,A00023,nyxinvoid,marketplace_18,BE0C50B7A2C6F49ADA332145163F631CF81B7206,arms,2024-06-27,2024-09-24,dormant
H00031,A00023,thra_v2,marketplace_6,1BDB1812926337C6675D3BED355CA5EBAABDDA76,arms,2025-08-08,2026-11-16,dormant
H00032,A00023,hexinhex99,marketplace_3,EEC0190490976A08431EB448B77892C62AF5F391,arms,2025-02-23,2025-12-11,burned
H00033,A00024,voryl99,marketplace_2,D370C191A4A741CE27D9C44A2F1C82CD44F6FC67,drugs,2025-08-01,2026-09-09,active
H00034,A00025,hexulphantom,marketplace_14,3DDBB6AB095BE4E176B42317490A39EF0A6668F4,drugs,2023-11-28,2024-11-22,active
H00035,A00026,darkoghost,marketplace_17,681E02C8B309C7C3AF256E0179AFC50BBB97818C,other_illicit,2023-02-14,2023-07-04,active
H00036,A00027,kryexphantom,marketplace_9,C7D74D9AE4646494D45A235A40ADD9E846345087,other_illicit,2023-12-16,2025-03-29,burned
H00037,A00027,vexohex99,marketplace_8,2F4FB5CFF45671D08D76625EFAE7DC1CAC13EE17,other_illicit,2023-08-26,2024-01-01,burned
H00038,A00027,nocox,marketplace_5,169EC99E5D914EE2354CDAE05E6E28A5323EB2C5,other_illicit,2024-07-04,2025-02-01,dormant
H00039,A00028,hexylcode,marketplace_2,5451D99E95346080EFF0F76FEDE207861541B141,arms,2025-02-25,2025-06-02,burned
H00040,A00029,shada99,marketplace_10,5595EB129ABC2D29F438AD66132F9DA8B4FFF579,money_laundering,2025-07-31,2025-09-23,active
H00041,A00029,shadathwraith,marketplace_11,6DD1AB60698299A03AAC056AAFF14F4EAED19A06,money_laundering,2023-01-02,2023-03-13,burned
H00042,A00030,throraven,marketplace_12,C5C539A18D2F7BE96953B162E0F46AF9A43461EC,money_laundering,2023-06-02,2023-11-02,burned
H00043,A00030,ghoophantom,marketplace_3,AE139096A6698AE384583036BA8497529AE140F1,money_laundering,2023-04-29,2023-05-11,active
H00044,A00031,darkul_v2,marketplace_3,B9A62E42E3E9EF7748BC5AAEF02F3BFE59B43C3A,arms,2024-03-12,2024-10-08,burned
H00045,A00032,kryul99,marketplace_10,775FC2A6DDA752F3EA3E59C23CAF1264044E9CE6,hacking_services,2024-06-29,2025-03-02,active
H00046,A00033,hexin99,marketplace_11,B20C491B10B3907DCACCCD65F46CBD49440204FD,hacking_services,2024-08-06,2025-09-26,active
H00047,A00033,vexor_v2,marketplace_10,D5EDECB75D0F78DB11FB3F248E227F291A0FEFAD,hacking_services,2023-03-28,2023-06-16,active
H00048,A00034,hexulghost,marketplace_10,81F51909F2428848880354EB587F51A244FDC7E5,terror_financing,2023-02-06,2024-02-06,active
H00049,A00034,thrylbyte,marketplace_20,8315ECF9F7CCF84D09ECA13BD8A8838CE76A5A00,terror_financing,2024-08-14,2025-09-03,active
H00050,A00034,cyenwraith,marketplace_6,EB7986102163324C53589E2E8DA85281CCA1885E,terror_financing,2023-01-13,2023-08-21,active
H00051,A00035,darkathwraith,marketplace_7,4D63E831228E0F401C84AC0FFDC270CF3BA9C12B,terror_financing,2024-09-16,2025-04-15,burned
H00052,A00036,ravinstorm,marketplace_11,51C69C3BF2E641607FC29FE01A1A1C36E47214F0,other_illicit,2025-05-11,2026-01-11,dormant
H00053,A00036,obsofang,marketplace_3,405193E5233F726DACA34A615A2384D5B5E7143C,other_illicit,2025-07-17,2026-11-09,active
H00054,A00037,shadexphantom,marketplace_16,9DF4648ED7515F29BD07633B7E681634FF5511B9,arms,2023-03-24,2023-04-06,active
H00055,A00038,hexathbyte,marketplace_11,31550F327EAD6A73A737D6C72FF1D46E5CB4E6B8,other_illicit,2024-09-23,2025-11-19,active
H00056,A00039,shadincode,marketplace_2,3EED5A795572DF6FE80D77AD740D11F1DCF3EF72,drugs,2024-12-09,2025-10-06,burned
H00057,A00040,ghoarphantom,marketplace_14,0F95E0EE4C5BE02CA19D862A1B13CBE1BB5264A7,drugs,2023-05-16,2023-11-25,burned
H00058,A00040,nyxulstorm,marketplace_7,7AB8D812BBEF3F9EB26E22C59235834F4609D4FB,drugs,2023-04-27,2024-04-03,dormant
H00059,A00041,cyofang,marketplace_1,ADAAFEE949587FB914B9E5595545731A4E8B561A,other_illicit,2023-10-26,2024-02-09,active
H00060,A00042,zerinwraith,marketplace_15,0CF4EA40A9F94EA3F14390C7EB2A1678602E2C6F,money_laundering,2024-07-06,2024-10-07,active
H00061,A00043,hexylx,marketplace_17,4DBCB09BB9E26EDE95DD42469FA2C20D8D5E465C,money_laundering,2025-08-24,2025-10-01,active
H00062,A00044,ghoulghost,marketplace_2,FE700489F39D5F7038F2BFD8F3B08514AE4B518B,hacking_services,2025-04-22,2026-06-29,dormant
