indicator_id,actor_id_ground_truth,onion_address,leak_type,cert_fingerprint,clearnet_match_domain,confidence_hint,scan_date
I00001,A00358,emlfghhl5tdxi7or.onion,default_banner,,,0.42,2025-12-21
I00002,A00423,2oogc6w7yrsnljmm.onion,ssl_cert_reuse,F9:56:47:21:91:D9:81:D6:E4:26:DD:3B:55:58:D7:5B:CE:3D:2E:AB,,0.85,2025-09-06
I00003,A00331,ncgxeeobcfcvhgqq.onion,exposed_status_page,,host-3.example-clearnet.net,0.89,2026-04-14
I00004,A00284,mpe4qwtw2l5w4645.onion,exposed_status_page,,,0.69,2026-06-19
I00005,A00366,io4ijqijmsqjd4hl.onion,exposed_status_page,,host-5.example-clearnet.net,0.93,2025-05-24
I00006,A00418,fwnklnpjdf2gykzs.onion,default_banner,,host-6.example-clearnet.net,0.51,2025-07-13
I00007,A00008,yb3mwby4aiog5vcg.onion,ssl_cert_reuse,A7:A4:3D:54:DB:45:33:D9:8F:26:78:23:53:CC:1C:5A:6D:26:38:EC,host-7.example-clearnet.net,0.66,2025-03-17
I00008,A00232,ebcpmka4zlx6nfyx.onion,descriptor_timing,,host-8.example-clearnet.net,0.57,2025-08-16
I00009,A00600,5jmqgqjngf22lhgp.onion,descriptor_timing,,,0.43,2025-07-25
I00010,A00414,okeojnc2qcdufuyn.onion,exposed_status_page,,host-10.example-clearnet.net,0.75,2026-05-05
I00011,A00392,tpt56x2spj6nmjyd.onion,default_banner,,,0.57,2025-03-16
I00012,A00126,567tixhcf3v64eez.onion,descriptor_timing,,host-12.example-clearnet.net,0.44,2025-04-25
I00013,A00505,7vuxnjfw4bx2tyiw.onion,descriptor_timing,,host-13.example-clearnet.net,0.67,2026-07-28
I00014,A00198,dn35y2g55ldbkohp.onion,ssl_cert_reuse,51:02:8A:12:D4:99:90:01:7E:44:9E:59:49:71:BC:D0:A1:46:10:CE,host-14.example-clearnet.net,0.5,2026-05-30
I00015,A00386,szmvvvyqljzah4x5.onion,ssl_cert_reuse,32:01:8E:91:B2:B9:4B:25:15:E5:A3:28:3D:A1:CB:E6:37:5A:2A:B4,host-15.example-clearnet.net,0.55,2025-05-15
I00016,A00268,z265hclmmyj4d5b7.onion,default_banner,,host-16.example-clearnet.net,0.44,2026-02-08
I00017,A00066,qlh3ptzfa4uzb42p.onion,ssl_cert_reuse,59:1A:F4:C4:87:FA:2C:1C:29:16:A2:BE:71:0F:9D:B4:87:96:22:9B,host-17.example-clearnet.net,0.62,2025-11-19
I00018,A00491,ontu2jragov3q2sa.onion,default_banner,,host-18.example-clearnet.net,0.62,2025-04-29
I00019,A00405,ao5a6ctjlgav2ekg.onion,descriptor_timing,,host-19.example-clearnet.net,0.53,2026-02-02
