marketplace_id,name,category_focus,active_status
marketplace_1,marketplace_1,terror_financing,inactive
marketplace_2,marketplace_2,money_laundering,inactive
marketplace_3,marketplace_3,arms,active
marketplace_4,marketplace_4,hacking_services,active
marketplace_5,marketplace_5,terror_financing,active
marketplace_6,marketplace_6,money_laundering,active
marketplace_7,marketplace_7,terror_financing,active
marketplace_8,marketplace_8,other_illicit,inactive
marketplace_9,marketplace_9,stolen_data,active
marketplace_10,marketplace_10,other_illicit,active
marketplace_11,marketplace_11,drugs,active
marketplace_12,marketplace_12,arms,inactive
marketplace_13,marketplace_13,arms,active
marketplace_14,marketplace_14,stolen_data,active
marketplace_15,marketplace_15,money_laundering,active
marketplace_16,marketplace_16,arms,inactive
marketplace_17,marketplace_17,money_laundering,inactive
marketplace_18,marketplace_18,terror_financing,active
marketplace_19,marketplace_19,hacking_services,active
marketplace_20,marketplace_20,money_laundering,active
