wallet_address,handle_id,currency,tx_count,first_seen
4b5Udd0ULjuARGYm52Rv7MP6B1iCHpOZ9JEEEyvqaiot8EWhswh4mCrQ4aXiIPYkA0wZ0PXB9vlKo6QyExylDxWqvR0qaoX,H00001,XMR,157,2023-02-20
0x7ebba7c95518e1a88fcb602ec5e187a4e2b78870,H00002,ETH,68,2024-06-01
0xe7a985814809dc1ec685f59ee33bee6f2ad3c52f,H00003,ETH,109,2023-04-15
42fpVHUFmesbSOn5eKS1hzBA3XThBktVRQzNUIHUKPUBE47zl7VeGiltDKOOliqFzP47JBCcRDgz1CfOrHQKwDNjvDIxSlm,H00003,XMR,490,2023-04-15
1dbYNmsWeoXCpqvrisE130Wg9ew4uHl2l8,H00004,BTC,34,2023-08-16
0xa2e20e0defd6363c9a766c95ba07b7752135a9ce,H00005,ETH,168,2024-02-18
0x29bef173f0bd4b651286a9bc6cf7dd7d99930c64,H00006,ETH,402,2025-02-28
4WmKiOby0TYbri3LsjNN3iWefN1lrCq9nPWYOvdBMQEI5kdKLVnGEi3hgi7bnGjULNGmLW0M416cgx4aXQ8XRxNw8tFBfBJ,H00006,XMR,386,2025-02-28
4Gc8pctU92ba3uRSr3AHbfZSXmh035rn6pAa6wFqmlgV4gh6wrKvNOVPPNiKfWREMV9gMy14NZQdM3epyseFPAu9SKib610,H00008,XMR,189,2024-12-13
4IOnYzb5Kb44eA0HagWfv50QnVAbNysnMtxO2mPr5MFnida2LAc8hxmvmZOYbwolYXw9BVl7tRJIV2JP9S0Ib3ZtMFcqArJ,H00009,XMR,453,2024-02-17
4IOnYzb5Kb44eA0HagWfv50QnVAbNysnMtxO2mPr5MFnida2LAc8hxmvmZOYbwolYXw9BVl7tRJIV2JP9S0Ib3ZtMFcqArJ,H00009,ETH,50,2024-02-17
0x6591ae9326b63072ccfe0b42ac18684014aaf616,H00010,ETH,245,2023-07-20
1Wfjdx9JYJAKPStHwnSdDqHD8JeZmqbULw,H00012,BTC,354,2024-11-30
4audVeJgpT2TyeF4cac9rG0wtUQgU2X9ViRmQqG7ga3ULsRukuu4pSKyju1xBfrrg7jQ9TWSXUKICde61dNmQihvjLqgFZB,H00013,XMR,57,2025-07-29
